发表日期	产品名	抓取来源	是否天猫超市	是否天猫	原文地址	店名	内容	标题	内容_维度	内容_属性	内容_情感	内容_正负面
2016/7/27 17:22	绅士牌-花生	天猫商城			http://detail.tmall.com/item.htm?id=41821758592	优仕艾食品专营店	好吃	美国原装进口Planters绅士烘烤原味坚果花生453g	产品	味道	好吃	正面
2016/7/27 17:24	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_0f694221-b821-4e13-baa4-ed692605f46c_1.html		美国绅士坚果，零食的不二选择！	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g				
2016/7/27 17:26	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_b8b46b3a-bd07-482a-88fb-addc6ca057fb_1.html		上午下单下午到货，迫不及待开吃。健身人群的加餐好伙伴！	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	服务	物流	NULL	中性
2016/7/27 17:28	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_04db350e-c671-4261-b6a1-06058896a2d5_1.html		不错！快递服务很好！味道也好	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品|服务|服务	味道|物流|售前/后	也好|很好|很好	正面|正面|正面
2016/7/27 17:33	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_f17c5f61-c9fd-426a-9a01-14ff1cf2b618_1.html		原价真是20.8？好诧异……感觉还不错	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g				
2016/7/27 17:41	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_b480a13d-afb0-4b40-b56e-7de67b4f1544_1.html		非常快！快递给力！！很好吃，不真正的进口坚果赞！	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	产品|服务	味道|物流	好吃|给力	正面|正面
2016/7/27 18:18	绅士牌-花生	京东商城			http://club.jd.com/repay/3260372_bcb6f804-2350-4845-a8db-0aea513a9ecc_1.html		童年记忆中的美食，现在在尝尝?	美国进口 绅士牌（planters) 美式海盐焦糖花生170g				
2016/7/27 18:47	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_eae13401-96e9-4931-b212-a00dbfcbeb53_1.html		多种坚果混合，一次过满足所有味蕾愿望，赞！?外加不用剥壳哦?	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	产品	果实	NULL	中性
2016/7/27 19:00	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_25b5a0bc-f352-4f13-8781-9af7033bb580_1.html		好吃，一元。	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	价格感知|产品	促销活动|味道	一元|好吃	正面|正面
2016/7/27 19:02	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_03594b02-1169-4ab1-a8bc-e84fd420a7fd_1.html		哈哈，终于等到你，原来花生可以这么好味道！	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品	味道	好	正面
